Date	Client File Number	Client File Merge	Bus Tickets (Number of)	Notes of Service	Food Provided for	Food Pounds	Clothing Items	Diapers	School Kits	Hygiene Kits	Referrals	Financial Support	Type of Bill Paid	Payer of Support	Field1	Field2	Field3
10/30/2001	482	20482			3												
9/2/2003	482	20482			3		0					0.00					
9/10/2003	482	20482					4					0.00					
7/13/2000	483	20483		clothing	5												
8/29/2000	483	20483			5												
11/28/2000	483	20483		clothing	5												
2/26/2001	483	20483			5												
4/19/2001	483	20483		hygiene	6												
5/10/2001	483	20483			6												
7/12/2001	483	20483			6												
9/27/2001	483	20483			5												
11/12/2001	483	20483			5												
2/12/2002	483	20483		clothing	6												
4/22/2002	483	20483		may not receive more until she provides proof of food stamps	6												
10/23/2003	483	20483			4							0.00					
6/1/2004	483	20483			6		18					0.00					
6/29/2004	483	20483			5		1					0.00					
11/22/2004	483	20483			4							0.00					
7/20/2009	483	0			5	30	3					0.00					
6/22/2010	483	0			5	30	4					0.00					
1/12/2011	483	0			6	50	25					0.00					
2/15/2011	483	0			7	60	11					0.00					
3/17/2011	483	0			7	60	16					0.00					
4/18/2011	483	0				0	3					0.00					
5/16/2011	483	0			5	45	10					0.00					
6/16/2011	483	0			5	45	7			5		0.00					
8/11/2011	483	0			5	45	5					0.00					
9/12/2011	483	0			5	45	10					0.00					
10/11/2011	483	0			5	45	9					0.00					
12/8/2011	483	0			5	45	25					0.00					
1/3/2012	483	0			5	45	9					0.00					
5/17/2012	483	0			7	60	15					0.00					
6/12/2012	483	0			5	45	12					0.00					
1/7/2013	483	0			5	45	5					0.00					
9/11/2013	483	0			5	45	25					0.00					
11/18/2013	483	0			5	45	2					0.00					
5/23/2002	484	20484			1												
10/30/2001	485	20485		clothes	0												
9/3/2002	485	20485			1							0.00					
10/29/2002	485	20485					5					0.00					
11/12/2002	485	20485			1							0.00					
12/19/2002	485	20485			1							0.00					
9/21/2006	485	20485			1	10						0.00					
10/10/2006	485	20485				0	1					0.00					
10/13/2006	485	20485		Financial Assistance		0						15.00					
10/26/2006	485	20485			1	10						0.00					
12/19/2006	485	20485			1	10	3					0.00					
1/22/2007	485	20485			1	10						0.00					
2/22/2007	485	20485			1	10						0.00					
4/10/2007	485	0			1	10	2					0.00					
5/31/2007	485	0			1	10	5					0.00					
7/9/2007	485	0			1	10						0.00					
8/27/2007	485	0			1	10						0.00					
9/24/2007	485	0			1	10						0.00					
10/29/2007	485	0			1	10						0.00					
11/29/2007	485	0			1	10	2					0.00					
2/5/2008	485	0			1	10	6					0.00					
4/17/2008	485	0			1	10	4					0.00					
6/16/2008	485	0			1	10	2					0.00					
7/28/2008	485	0			1	10	4					0.00					
8/18/2008	485	0			1	10	1					0.00					
11/18/2008	485	0			1	10	11			1		0.00					
12/18/2008	485	0			1	10	6					0.00					
2/5/2009	485	0			1	10	2			1		0.00					
3/5/2009	485	0				0	4					0.00					
10/25/2001	486	20486			1												
12/20/2001	486	20486			1												
2/28/2002	486	20486			1												
8/26/2002	486	20486			1							0.00					
9/3/2002	486	20486			1							0.00					
4/15/2003	486	20486		food	1							0.00					
6/4/2002	487	20487		"clothing and food, snacks for boys"	1												
6/23/2003	487	20487		food	1							0.00					
9/15/2003	487	20487					17			1		0.00					
10/21/2003	487	20487					16			1		0.00					
12/18/2003	487	20487		Financial assistance								80.94					
4/26/2004	487	20487			2							0.00					
6/21/2005	487	20487			1							0.00					
7/28/2005	487	20487					7					0.00					
2/14/2006	487	20487			1	10				1		0.00					
4/18/2006	487	20487			1	10						0.00					
5/25/2006	487	20487			1	10	1			1		0.00					
3/6/2008	487	0			1	10	7					0.00					
8/24/2010	487	0			2	20						0.00					
11/29/2010	487	0			3	25	8					0.00					
6/26/2000	489	20489			1												
9/18/2001	489	20489			2												
10/4/2001	489	20489			1												
2/8/2002	490	20490		clothing - 6 articles	4												
4/18/2002	490	20490		2 dresses	0												
6/17/2002	490	20490			4												
7/8/2004	490	20490					2					0.00					
5/19/2005	490	20490					2					0.00					
5/21/2002	491	20491			1												
5/17/2002	492	20492			1												
1/12/2005	492	20492					4			1		0.00					
2/2/2005	492	20492					1					0.00					
5/21/2002	493	20493			5												
2/25/2002	494	20494		"clothing, hygiene kit"	0												
2/27/2002	494	20494		4 bus passes	0												
2/28/2002	494	20494		4 tta bus passes	0												
3/27/2002	494	20494		"hygiene kit, 2 outfits, shoes, several other articles of clothing"	0												
3/28/2002	494	20494		2 bus passes	0												
4/4/2002	494	20494		2 $.50 bus passes	0												
6/21/2001	495	20495			1												
3/18/2002	495	20495			1												
5/23/2002	495	20495		clothing	0												
6/11/2003	495	20495					7					0.00					
9/23/2003	495	20495					6					0.00					
10/23/2003	495	20495					7					0.00					
12/2/2003	495	20495		clothing			5					0.00					
5/27/2004	495	20495					6					0.00					
8/18/2004	495	20495					10			1		0.00					
10/6/2004	495	20495					5					0.00					
11/4/2004	495	20495					6					0.00					
5/23/2002	496	20496		"needed a prescription filled, we found him assistance"	0												
2/16/1999	497	20497		11 articles of clothing	0												
3/9/1999	497	20497		3 articles of clothing	0												
4/4/1999	497	20497		4 articles of clothing	0												
6/15/1999	497	20497		"hygiene kit, 3 articles of clothing"	0												
11/3/2000	497	20497		hygiene kit	0												
10/1/2001	497	20497			1												
11/20/2001	497	20497			1												
3/19/2002	497	20497		clothing	1												
7/25/2002	497	20497					4					0.00					
9/26/2002	497	20497			1		11			1		0.00					
10/29/2002	497	20497			1		4					0.00					
12/30/2002	497	20497			1							0.00					
2/10/2003	497	20497			1					1		0.00					
3/11/2003	497	20497			1		3					0.00					
4/8/2003	497	20497					4					0.00					
7/15/2003	497	20497										0.00					
2/16/2004	497	20497		hygiene kits						2		0.00					
6/22/2004	497	20497					3			1		0.00					
6/25/2007	497	0			2	15						0.00					
7/24/2007	497	0			1	10	6					0.00					
9/10/2007	497	0			1	10						0.00					
4/22/2008	497	0			2	15	7					0.00					
6/2/2008	497	0			1	10	5					0.00					
6/10/2008	497	0				0	19					0.00					
6/23/2008	497	0			3	20	3					0.00					
2/10/2009	497	0			1	10	6					0.00					
2/24/2009	497	0				0	5					0.00					
3/31/2009	497	0			1	10	4					0.00					
4/30/2009	497	0			2	15	5					0.00					
6/18/2009	497	0			1	10	7					0.00					
6/23/2009	497	0				0	7					0.00					
6/29/2009	497	0			1	10						0.00					
7/28/2009	497	0			1	10	8					0.00					
10/27/2009	497	0			1	10	7					0.00					
2/9/2010	497	0			1	10	11					0.00					
1/12/2016	497	0			1	15	1					0.00					
2/15/2018	497	0			1	18	1					0.00					
9/7/2018	497	0			1	18	5					0.00					
12/13/2001	498	20498			1												
1/28/2002	498	20498			1												
3/25/2002	498	20498			2												
1/24/2002	499	20499			2												
11/17/2005	499	20499					5					0.00					
3/2/2002	500	20500			2												
4/25/2002	500	20500			2												
12/24/2001	501	20501			2												
9/17/2001	502	20502			3												
5/14/2002	502	20502			3												
1/31/2002	503	20503			4												
10/12/2001	504	20504			1												
3/27/2019	504	0			1	18	0					0.00					
10/20/2000	506	20506		clothing	4												
5/16/2002	506	20506		clothing	4												
1/7/2003	506	20506			5							0.00					
8/17/2004	506	20506					5					0.00					
2/15/2002	507	20507			3												
2/19/2002	507	20507		suit and 3 shirts	3												
4/18/2002	507	20507		5 shirts	3												
7/25/2002	507	20507			3		1			1		0.00					
5/16/2002	508	20508			1												
1/7/2003	508	20508			1		4					0.00					
10/29/2009	508	0			1	10	6					0.00					
12/13/2001	510	20510			1												
5/2/2007	510	0				0	4					0.00					
5/9/2007	510	0				0	4			1		0.00					
5/22/2007	510	0				0	19					0.00					
5/30/2007	510	0				0	8					0.00					
6/13/2007	510	0				0	5					0.00					
3/12/1999	511	20511			2												
4/10/2001	511	20511			2												
11/20/2001	511	20511		food and clothing	4												
3/20/2002	512	20512		clothing	0												
10/31/2000	513	20513		clothes	0												
5/22/2001	513	20513			1												
11/13/2001	513	20513		"3 jeans - 1 jacket, 1 top"	1												
11/14/2001	513	20513		"clothing, packe"	0												
2/11/2002	513	20513			1												
5/5/2008	513	0			1	10						0.00					
6/23/2008	513	0			1	10	9					0.00					
8/28/2008	513	0			1	10	4			1		0.00					
9/18/2008	513	0			1	10	5					0.00					
10/6/2008	513	0			1	10	3					0.00					
10/21/2008	513	0			1	10	5					0.00					
12/8/2008	513	0			1	10	3					0.00					
7/19/2010	513	0			1	15	12					0.00					
12/15/2010	513	0			1	15	10					0.00					
4/14/2011	513	0			1	15	6					0.00					
8/10/2011	513	0			1	15	5					0.00					
9/12/2011	513	0				0	5					0.00					
11/23/2011	513	0			1	15	5					0.00					
12/20/2011	513	0			1	15	4					0.00					
5/1/2012	513	0			1	15	7					0.00					
9/12/2012	513	0			1	15	8					0.00					
11/19/2012	513	0			1	15	7					0.00					
2/14/2013	513	0			1	15	9					0.00					
4/23/2013	513	0				0	8					0.00					
5/15/2013	513	0			1	15	5					0.00					
6/26/2013	513	0			1	15	10					0.00					
12/11/2013	513	0			1	15	10					0.00					
1/28/2014	513	0			1	15	6					0.00					
6/26/2014	513	0			1	15	8					0.00					
8/28/2014	513	0			1	15	8					0.00					
10/23/2014	513	0			1	15	9					0.00					
3/19/2015	513	0			1	15	8					0.00					
6/25/2015	513	0			1	15	8					0.00					
7/28/2015	513	0			1	15	6					0.00					
11/18/2015	513	0			1	15	7					0.00					
11/15/2016	513	0			1	15	7					0.00					
11/9/2017	513	0			1	18	6					0.00					
4/5/2001	515	20515			6												
5/24/2001	515	20515		clothing	6												
10/9/2001	515	20515			7												
12/20/2001	515	20515		detergint and soap	7												
10/14/2002	515	20515			6							0.00					
4/14/2003	515	20515		food	7							0.00					
9/15/2003	515	20515			7					1		0.00					
12/19/2003	515	20515			3							0.00					
2/26/2004	515	20515		food	6							0.00					
11/13/2001	516	20516		food	2												
7/22/2008	516	0			2	15	10					0.00					
10/18/2001	517	20517		clothing	1												
3/21/2002	520	20520		clothing	2												
4/11/2002	520	20520		"clothing, soap"	0												
6/18/2002	520	20520		clothing	1												
8/15/2002	520	20520		"Food, clothing"	1		10					0.00					
12/17/2002	520	20520			1							0.00					
7/22/2003	520	20520			1		4					0.00					
9/13/2007	520	0			2	15	46					0.00					
11/8/2007	520	0			2	15	5					0.00					
2/28/2008	520	0			2	15	23					0.00					
3/21/2008	520	0			2	15	20					0.00					
7/17/2008	520	0			2	15						0.00					
8/14/2008	520	0			2	15	15			1		0.00					
9/18/2008	520	0			2	15	15					0.00					
12/4/2008	520	0			2	15	6					0.00					
12/11/2008	520	0			2	15	26					0.00					
3/13/2019	520	0			2	19	7					0.00					
11/20/2001	521	20521			1												
6/18/2002	521	20521			1												
4/22/2003	521	20521			1							0.00					
5/2/2003	521	20521			1							0.00					
4/23/2007	521	0			1	10						0.00					
5/29/2007	521	0			1	10						0.00					
11/1/2007	521	0			1	10						0.00					
6/18/2002	522	20522		clothing	1												
6/20/2002	522	20522		razor and soap	0												
7/18/2002	522	20522		shoes								0.00					
9/6/2002	522	20522			2							0.00					
9/24/2002	522	20522			1		16					0.00					
10/7/2002	522	20522		food	1							0.00					
10/9/2002	522	20522					9					0.00					
1/21/2003	522	20522		food	1							0.00					
1/23/2003	522	20522		clothes			1					0.00					
1/30/2003	522	20522					1					0.00					
3/20/2003	522	20522		clothes;food	1		12					0.00					
4/24/2003	522	20522			1							0.00					
5/27/2003	522	20522			1		9					0.00					
6/24/2003	522	20522		clothes			9					0.00					
7/24/2003	522	20522			3		4					0.00					
9/16/2003	522	20522					5					0.00					
12/4/2003	522	20522		clothes;hygiene kit			11			1		0.00					
2/12/2004	522	20522		clothes			9					0.00					
3/18/2004	522	20522			1		50					0.00					
7/22/2004	522	20522					2					0.00					
10/9/2001	523	20523			1												
4/8/2002	523	20523		$50 from Mt. Sylvan	0												
6/18/2002	523	20523			1												
11/17/2005	523	20523			1							0.00					
6/18/2002	524	20524		clothing	3												
4/2/2002	525	20525			1												
4/15/2002	525	20525			5												
6/18/2002	525	20525		clothing	1												
11/21/2000	526	20526		clothing	6												
2/20/2001	526	20526			6												
3/9/2001	526	20526		clothing	6												
3/22/2001	526	20526		clothing	6												
4/19/2001	526	20526		clothing	6												
6/22/2001	526	20526			6												
9/18/2001	526	20526		socks	5												
11/20/2001	526	20526		clothing	6												
12/1/2001	526	20526		clothing	7												
2/12/2002	526	20526		clothing	7												
4/8/2002	526	20526		clothing	6												
4/30/2002	526	20526		clothing	5												
5/23/2002	526	20526		clothing	5												
6/18/2002	526	20526		clothing	5												
11/5/2002	526	20526			5							0.00					
12/10/2002	526	20526			5		12					0.00					
12/30/2002	526	20526			5							0.00					
1/27/2003	526	20526		"hygiene, boots"			1			1		0.00					
2/27/2003	526	20526			5		13					0.00					
3/24/2003	526	20526		food	5							0.00					
5/5/2003	526	20526			5					1		0.00					
5/6/2003	526	20526			5		12					0.00					
6/5/2003	526	20526			5							0.00					
7/3/2003	526	20526			5		8					0.00					
8/4/2003	526	20526			5							0.00					
9/2/2003	526	20526			5		11					0.00					
10/6/2003	526	20526			5							0.00					
11/10/2003	526	20526			5							0.00					
12/2/2003	526	20526		food	5							0.00					
5/27/2004	526	20526			5					1		0.00					
8/31/2004	526	20526			13							0.00					
6/13/2002	527	20527		clothing	0												
6/17/2002	527	20527		snacks	1												
6/18/2002	527	20527		clothing	0												
8/1/2002	527	20527		clothing			4										
8/13/2002	527	20527		food	1							0.00					
9/16/2002	527	20527			1							0.00					
4/17/2003	527	20527			2		19					0.00					
1/6/2004	527	20527		food; clothing	2		10			1		0.00					
5/15/2006	527	20527			2	15						0.00					
10/24/2006	527	20527			2	15	6					0.00					
4/23/2007	527	0			5	30						0.00					
5/22/2007	527	0				0	10					0.00					
6/19/2007	527	0			4	25	35					0.00					
7/23/2007	527	0			4	25						0.00					
10/11/2007	527	0			3	20	75					0.00					
11/19/2007	527	0			3	20						0.00					
1/17/2008	527	0			3	20	14					0.00					
2/18/2008	527	0			3	20						0.00					
3/27/2008	527	0			3	20	15					0.00					
5/5/2008	527	0			3	20						0.00					
6/15/2008	527	0			3	20	6					0.00					
7/7/2008	527	0			3	20	18					0.00					
8/18/2008	527	0			3	20	25					0.00					
9/16/2008	527	0			3	20	23					0.00					
10/20/2008	527	0			3	20	11					0.00					
12/18/2008	527	0			3	20	18					0.00					
1/15/2009	527	0			3	20	12					0.00					
11/9/2009	527	0			4	25	22					0.00					
1/4/2010	527	0			4	25	13					0.00					
4/14/2011	527	0			6	50	21					0.00					
6/27/2011	527	0			4	30	6					0.00					
1/19/2012	527	0			6	50	25					0.00					
3/26/2012	527	0			6	50	25					0.00					
8/27/2012	527	0			4	30	20					0.00					
10/11/2012	527	0			4	30	17					0.00					
11/27/2012	527	0			4	30	10					0.00					
1/7/2013	527	0			4	30	15					0.00					
2/11/2013	527	0			4	30	15					0.00					
3/11/2013	527	0			4	30	12					0.00					
6/11/2013	527	0			4	30	10					0.00					
8/27/2013	527	0			4	30	6					0.00					
10/28/2013	527	0			4	30	14					0.00					
12/11/2013	527	0			4	30	15					0.00					
2/17/2014	527	0			4	30						0.00					
6/23/2014	527	0			5	45	25					0.00					
9/10/2014	527	0			5	45	25					0.00					
1/15/2015	527	0			5	45	14					0.00					
2/16/2015	527	0			5	45	18					0.00					
4/14/2015	527	0			5	45	25					0.00					
5/11/2015	527	0			5	45	18					0.00					
9/28/2016	527	0			6	50	25					0.00					
4/26/2017	527	0			7	60	14					0.00					
5/4/2018	527	0			6	53	12					0.00					
6/14/2018	527	0			6	53	12					0.00					
9/18/2018	527	0			6	53	17					0.00					
11/16/2018	527	0			6	53	12					0.00					
1/2/2019	527	0			6	53	15					0.00					
2/13/2019	527	0			6	53	23					0.00					
4/16/2019	527	0			6	53	11					0.00					
1/24/2002	528	20528		clothing	2												
11/13/2001	529	20529		clothing	0												
11/20/2001	529	20529		clothing	0												
1/8/2002	529	20529		clothing	0												
2/7/2002	529	20529		"clothing, toothpaste"	0												
6/18/2002	529	20529		clothing	0												
10/3/2002	529	20529		clothing			5					0.00					
11/30/2009	529	0				0	4					0.00					
12/2/2009	529	0				0	3					0.00					
6/3/2010	529	0			1	10	7					0.00					
7/15/2010	529	0				0	5					0.00					
1/12/2011	529	0				0	3					0.00					
4/28/2011	529	0				0	9					0.00					
10/6/2011	529	0			1	15	10					0.00					
4/24/2012	529	0				0	10					0.00					
9/18/2013	529	0				0	9					0.00					
6/18/2001	530	20530		2 shirts	0												
6/18/2002	530	20530			0												
6/25/2002	530	20530			1												
8/13/2002	530	20530		Clothing			1					0.00					
8/27/2002	530	20530					1					0.00					
3/18/2003	530	20530			1		1					0.00					
4/24/2003	530	20530			1		2					0.00					
6/26/2003	530	20530			1							0.00					
7/18/2000	531	20531		food and clothing and hygiene	1												
7/10/2001	531	20531		"clothing, food and hygiene"	1												
7/26/2001	531	20531		clothing	0												
9/13/2001	531	20531		clothing	1												
3/21/2002	531	20531		clothing	1												
4/11/2002	531	20531		clothing	1												
6/18/2002	531	20531		clothes	1												
8/15/2002	531	20531		"Food, clothing"	1		9					0.00					
12/17/2002	531	20531			1							0.00					
3/13/2003	531	20531			1		9					0.00					
7/22/2003	531	20531			1		13					0.00					
6/18/2002	532	20532		clothing	1												
6/20/2002	532	20532			3												
9/4/2002	532	20532					6					0.00					
9/24/2002	532	20532					2					0.00					
10/15/2002	532	20532		"food, clothes"	3		11					0.00					
12/2/2002	532	20532			3		9					0.00					
6/17/2002	533	20533		snacks	3												
6/18/2002	533	20533		clothing	0												
6/21/2002	533	20533		4 bus tickets	0												
6/24/2002	533	20533		"socks, books"	0												
7/17/2002	533	20533					4					0.00					
8/28/2002	533	20533					9					0.00					
10/16/2002	533	20533		clothes			6					0.00					
10/24/2002	533	20533			2		3			1		0.00					
4/8/2002	534	20534		clothing	0												
4/16/2002	534	20534		clothing	0												
6/18/2002	534	20534		clothing	1												
6/14/2002	535	20535			2												
1/16/2004	535	20535		food	2							0.00					
6/14/2002	536	20536			2												
6/18/2002	537	20537			7												
10/21/2002	537	20537			8							0.00					
12/18/2008	537	0			5	30	22					0.00					
1/13/2003	538	20538			1							0.00					
6/14/2002	539	20539		referral for financial assistance	0												
1/31/2000	540	20540			1												
12/11/2001	540	20540		clothing	1												
11/26/2001	541	20541			2												
1/8/2002	542	20542		clothing	2												
3/25/2002	542	20542		clothing	2												
2/26/2002	543	20543		clothing	0												
3/6/2002	543	20543		clothing	0												
4/19/1999	544	20544			1												
5/17/1999	544	20544			1												
6/8/1999	544	20544			1												
8/12/1999	544	20544		clothing	1												
9/9/1999	544	20544		clothing	0												
4/22/2002	544	20544			1												
6/18/2002	544	20544		clothing	1												
11/12/2001	545	20545		clothing	0												
6/3/2002	546	20546			1												
7/23/2002	546	20546			1												
8/1/2002	546	20546		clothing			5										
2/14/2002	547	20547		clothing	3												
10/31/2002	547	20547			3							0.00					
11/13/2014	547	0			4	30	9					0.00					
1/8/2015	547	0			4	30	15					0.00					
10/5/2001	548	20548			5												
8/1/2002	548	20548		"food, clothing"	5		2										
11/8/2007	548	0			3	20	0					0.00					
5/21/2007	549	0			3	20						0.00					
6/10/2002	550	20550			1												
6/1/2009	550	0			1	10	14					0.00					
6/9/2009	550	0				0	3					0.00					
9/1/2009	550	0			1	10	1					0.00					
10/21/2009	550	0			1	10	6			1		0.00					
9/15/2010	550	0			1	15	12					0.00					
10/14/2010	550	0			1	15	6					0.00					
11/17/2010	550	0			1	15	12					0.00					
1/4/2011	550	0			1	15	9					0.00					
2/15/2011	550	0			1	15	7					0.00					
3/16/2011	550	0			1	15	5					0.00					
4/14/2011	550	0			1	15	6					0.00					
5/16/2011	550	0			1	15	10					0.00					
6/15/2011	550	0			3	25	1					0.00					
7/14/2011	550	0			3	25	3					0.00					
9/15/2011	550	0			3	25	9					0.00					
11/15/2011	550	0			2	20	11					0.00					
12/15/2011	550	0			3	25	18					0.00					
5/15/2012	550	0			1	15	6					0.00					
6/14/2012	550	0			1	15	10					0.00					
7/12/2012	550	0			1	15	5					0.00					
8/15/2012	550	0			1	15	4					0.00					
9/17/2012	550	0			1	15	4					0.00					
10/17/2012	550	0			1	15	10					0.00					
1/16/2013	550	0			1	15	9					0.00					
6/5/2013	550	0			1	15						0.00					
7/15/2013	550	0			1	15	6					0.00					
9/19/2013	550	0			1	15	8					0.00					
10/17/2013	550	0			1	15	6					0.00					
12/11/2013	550	0			1	15	6					0.00					
3/18/2002	551	20551			2												
10/23/2003	551	20551			2		2					0.00					
4/30/1999	552	20552			1												
5/6/1999	552	20552			1												
5/13/1999	552	20552			1												
6/29/1999	552	20552		clothing	1												
10/17/2000	552	20552		clothing	0												
1/16/2002	552	20552		clothing	0												
3/5/2002	552	20552		coat	0												
3/14/2002	552	20552			1												
4/8/2002	552	20552			1												
11/20/2001	553	20553		hygiene; St. Phillips gave $200	1												
9/28/2005	553	20553					6					0.00					
11/6/2000	554	20554			1												
2/1/2001	554	20554		clothes	2												
10/30/2001	554	20554		clothing	1												
11/12/2001	554	20554			1												
12/13/2001	554	20554		socks	2												
10/30/2001	555	20555		clothes	0												
11/4/2008	555	0				0	2			1		0.00					
11/18/2008	555	0			3	20	9					0.00					
12/2/2008	555	0			1	10				1		0.00					
12/9/2008	555	0				0	5					0.00					
1/5/2009	555	0				0	12			1		0.00					
1/12/2009	555	0			1	10	9					0.00					
2/2/2009	555	0				0	9					0.00					
2/23/2009	555	0			1	10	7					0.00					
3/31/2009	555	0			1	10						0.00					
4/6/2009	555	0				0	8					0.00					
5/12/2009	555	0				0	5					0.00					
8/18/2009	555	0				0	3					0.00					
9/1/2009	555	0				0	0					0.00					
9/3/2009	555	0				0	9					0.00					
11/18/2009	555	0				0	4					0.00					
11/30/2011	555	0			1	15	7					0.00					
2/27/2012	555	0			1	15	0					0.00					
4/24/2012	555	0			1	15	5					0.00					
1/8/2013	555	0			1	15	10					0.00					
2/6/2013	555	0			1	15	8					0.00					
4/1/2013	555	0			1	15	4					0.00					
5/30/2013	555	0			1	15	10					0.00					
10/15/2013	555	0			1	15	10					0.00					
12/2/2013	555	0				0	10			1		0.00					
3/10/2014	555	0				0	9					0.00					
8/5/2015	555	0			1	15	7					0.00					
10/22/2015	555	0			1	15	3					0.00					
4/26/2016	555	0			1	15	4					0.00					
2/19/2018	555	0			1	18	2					0.00					
4/18/2018	555	0			1	18	1					0.00					
3/26/2019	555	0			1	18	4					0.00					
6/18/2019	555	0			1	18	3					0.00					
1/16/2002	556	20556		clothes	0												
5/18/2000	557	20557			1												
8/21/2001	557	20557			1												
11/8/2001	557	20557		assistance with utility bill from DSS	1												
12/12/2001	557	20557			1												
8/3/2004	557	20557			1							0.00					
8/9/2005	557	20557			2							0.00					
9/8/2005	557	20557			2							0.00					
9/22/2008	557	0				0	13					0.00					
1/16/2002	558	20558		clothes	0												
1/31/2002	558	20558		hygine and food	2												
1/17/2002	559	20559			3												
3/26/2002	559	20559			3												
6/3/2002	559	20559		suitcase	0												
4/24/2003	559	20559						1				0.00					
10/15/2003	559	20559					1					0.00					
8/17/2004	559	20559					4					0.00					
11/10/2004	559	20559								1		0.00					
11/17/2004	559	20559					2					0.00					
11/24/2004	559	20559					1					0.00					
12/1/2004	559	20559					1					0.00					
1/12/2005	559	20559					0					0.00					
3/11/2002	560	20560			1												
6/19/2000	561	20561			2												
6/12/2001	561	20561		clothing	1												
9/18/2001	561	20561		clothing	0												
10/15/2001	561	20561		clothing	0												
10/30/2001	561	20561		clothing	0												
11/20/2001	561	20561		clothing	0												
12/4/2001	561	20561		socks	0												
12/18/2001	561	20561		clothing	0												
6/8/2004	561	20561					3					0.00					
7/7/2004	561	20561					3					0.00					
6/25/2001	562	20562			1												
4/9/2002	562	20562			1												
5/30/2002	562	20562			1												
6/10/2003	562	20562			1		0					0.00					
6/26/2003	562	20562			1							0.00					
7/10/2003	562	20562			1							0.00					
11/30/2001	563	20563		hygiene	1												
2/19/2002	563	20563		clothing	1												
2/20/2003	563	20563			1							0.00					
10/30/2003	563	20563					1					0.00					
3/18/2002	564	20564		clothes	1												
1/9/2003	564	20564			1		6					0.00					
3/28/2002	565	20565		clothes	4												
6/14/1999	566	20566			2												
6/15/1999	566	20566		clothing	0												
10/7/1999	566	20566		hygiene	2												
12/13/2001	566	20566		clothing	1												
12/10/2001	567	20567			1												
3/31/2003	567	20567			1							0.00					
4/10/2003	567	20567		clothes			12					0.00					
5/13/2003	567	20567			1							0.00					
7/1/2003	567	20567			1		8					0.00					
12/15/2005	567	20567			2	15	12					0.00					
3/30/2006	567	20567				0	1					0.00					
7/10/2007	567	0				0	6					0.00					
3/8/2002	568	20568		clothes	1												
3/11/2002	568	20568			1												
3/26/2002	568	20568			1												
3/7/2002	569	20569			1												
2/28/2002	570	20570		3 bus passes and hygiene	0												
3/6/2002	570	20570		clothing for her and kids	0												
3/26/2002	570	20570		clothing	0												
11/10/2003	570	20570			3							0.00					
3/17/2004	570	20570					28					0.00					
10/7/2004	570	20570			3		0					0.00					
4/1/2002	571	20571		clothing	3												
10/6/2009	571	0			5	30						0.00					
2/26/2002	572	20572		clothing	0												
1/10/2002	573	20573			2												
3/25/2002	573	20573			3												
9/23/2004	573	20573					11			1		0.00					
9/24/2009	573	0			1	10				1		0.00					
10/22/2009	573	0			1	10						0.00					
1/20/2011	573	0			1	15	10					0.00					
2/24/2011	573	0				0				1		0.00					
7/21/2011	573	0			1	15	3					0.00					
5/31/2012	573	0			2	20	10					0.00					
6/27/2012	573	0			2	20	1					0.00					
1/8/1999	574	20574			1												
3/15/1999	574	20574			1												
9/28/1999	574	20574			1												
1/10/2000	574	20574			1												
1/24/2000	574	20574			1												
7/24/2000	574	20574			1												
9/25/2000	574	20574			1												
10/26/2000	574	20574		clothing	0												
11/30/2000	574	20574			1												
1/22/2001	574	20574			1												
2/12/2001	574	20574			1												
2/26/2001	574	20574			1												
10/16/2001	574	20574		clothing	0												
11/19/2002	574	20574			1							0.00					
4/30/2000	576	20576			1												
1/24/2002	576	20576		clothing	1												
3/19/2002	576	20576		clothing	1												
5/9/2002	576	20576		clothing	1												
6/29/2018	576	0			1	18	5					0.00					
6/12/2001	577	20577		hygiene	1												
11/27/2001	577	20577			1												
3/15/2002	578	20578		"hygiene, 2 bus tickets"	1												
3/19/2002	578	20578		clothing	0												
4/23/2002	578	20578		clothing	1												
6/10/2002	578	20578			1												
4/20/2004	578	20578					3					0.00					
11/4/2004	578	20578					10			1		0.00					
12/16/2004	578	20578					7					0.00					
1/5/2005	578	20578					2			1		0.00					
6/28/2006	578	20578				0	1					0.00					
12/17/2008	578	0				0						0.00					
1/14/2009	578	0				0	2					0.00					
9/1/2009	578	0			3	20	4					0.00					
12/16/2009	578	0			3	20	11			2		0.00					
6/9/2010	578	0			3	20	3					0.00					
11/9/2011	578	0			3	25	6					0.00					
4/7/2016	578	0			3	25	5					0.00					
1/22/2001	579	20579			6												
8/2/2001	579	20579		clothing	4												
2/12/2002	579	20579		clothing	4												
10/20/2008	579	0			5	30	6					0.00					
2/9/2009	579	0			5	30	25			1		0.00					
3/1/2010	579	0			5	30	7					0.00					
4/13/2010	579	0			5	30	3					0.00					
5/11/2010	579	0			5	30	7					0.00					
8/19/2010	579	0				0	12					0.00					
4/11/2002	580	20580			1												
4/28/2002	580	20580		clothing	1												
10/10/2002	580	20580		clothes			2					0.00					
10/15/2002	580	20580		food	1							0.00					
11/13/2002	580	20580					2					0.00					
2/27/2003	580	20580			1							0.00					
4/17/2003	580	20580			1							0.00					
6/10/2003	580	20580			1		0					0.00					
5/30/2002	581	20581			1												
12/4/2001	583	20583		clothes	0												
2/21/2002	583	20583		clothes	0												
4/13/2004	583	20583			2		16					0.00					
9/16/2010	583	0			1	15	7					0.00					
10/18/2001	585	20585		clothes	3												
1/15/2002	587	20587		clothing	4												
5/5/2002	588	20588		clothing	0												
